"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A1";"RaspberryPi_Pico_Common_Unspecified";1;"RaspberryPi_Pico";;;
2;"C1";"C_0805_2012Metric";1;"10uF";;;
3;"C2, C3, C4, C5";"C_0402_1005Metric";4;"100nF";;;
4;"D1";"LED_0402_1005Metric";1;"LED";;;
5;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
6;"R1, R2, R3, R4";"R_0402_1005Metric";4;"10K";;;
7;"R5";"R_0402_1005Metric";1;"1K";;;
8;"SW1";"PinSocket_1x03_P2.54mm_Vertical";1;"SW_SPDT";;;
9;"U1";"N64_cartridge_connecter_2.5mm";1;"~";;;
10;"U2";"N64_cartridge_pins_2.5mm";1;"~";;;
11;"U3, U4";"DW20";2;"SN74CBTLV3245ADW";;;
